tidx,Name,Type,Period,Epoch
0,ASASSN-V J195636.20-521846.6,YSO,,
2,ASAS J200314-5023.2,ED,3.03473,2451874.82
6,V5840 Sgr,RS,3.244,2454546.88
7,ASASSN-V J192837.32-350057.2,ROT,3.4906,2457329.56
11,Gaia DR3 6750919828825203328,EB,0.88756,2458265.71
14,ASASSN-V J180756.95-583203.5,EA,5.2976,2457076.844
18,ASAS J180959-5806.8,ESD|ED,2.54364,2451951.198
20,ASASSN-V J181304.80-591430.2,ROT,8.5202,2459328.679
22,Gaia DR3 6649292003429888128,E,1.70981,
23,KELT KS36C089030,EA,1.449195,2457590.598
25,ASAS J182453-5433.0,ED,2.202736,2451950.121
26,ASASSN-V J183100.55-593513.2,L,,
32,ASAS J184306-5603.7,ED,2.50954,2451953.605
35,V4428 Sgr,EA,2.7835,2448502.23
37,ASAS J200710-4551.0,MISC,20.784834,2451940.2
44,V0795 Sgr,EA,1.3518937,2428074.21
55,V1252 Sgr,EA/SD,1.435689,2426480.516
56,V5571 Sgr,EA,0.948834,2452740.875
59,ASASSN-V J191456.54-323301.5,SR,288.0,2458718.641
60,ASAS J032258-7047.3,MISC,309.0,2452758.5
62,ASASSN-V J192043.38-320048.2,EA,2.40619,2457218.531
63,ASASSN-V J192130.48-304705.5,EB,1.732,2457137.767
72,TIC 49534600,EA,7.94999,2452031.777
73,AR Dor,EA,2.952057,2448608.637
74,AL Dor,EA/DM,14.90532,2448665.345
75,V0363 Tel,EA,2.67524,2452875.681
77,ASASSN-V J191426.60-461624.3,EA,5.1944,2458042.585
79,ASASSN-V J191603.88-474318.0,EA,2.0693,2456789.695
82,V0362 Tel,EA,1.21125,2448017.991
84,Gaia DR3 6656655157923299968,E,2.83685,
87,ASASSN-V J174418.26-545516.6,EB,16.25,2458159.879
91,V1026 Ara,SRB,99.36721,2452188.3
97,ASAS J180416-5847.0,ESD|ED,1.60488,2451941.373
99,1SWASP J195132.38-432249.4,EA,3.031966,
100,V2201 Sgr,EA,4.8151,2452039.794
102,Gaia DR3 5283700520240441600,DSCT|GDOR|SXPHE,1.88506,
103,ASASSN-V J184656.30-482253.7,ROT,7.3412,2457078.887
104,ASAS J191555-5251.4,EB|EW,0.631465,2451965.04
107,V0364 Tel,EA,11.2359,2452095.622
111,Gaia DR3 6669962615871599488,E,1.99509,
119,Gaia DR3 5266660009853275648,ROT,,
124,CF Tuc,EA/RS,2.7975,2455118.75
125,V0732 CrA,EA,1.00545,2452712.879
127,ASASSN-V J184632.93-442815.4,EA,2.1287,2457528.683
130,NSV 412,ESD|ED,0.634765,2451868.68
134,KELT KS28C01213,EA,1.345356,2455290.624
137,ASAS J202143-5619.4,ESD,4.30408,2451878.084
139,IQ Pav,EA,0.659286,2454725.541
141,ASAS J044758-5600.5,EA,1.83616,2452465.97
144,Gaia DR3 4654166307300552064,E,159.3,
148,ASAS J023455-7315.5,ED,1.05502,2451869.57
150,ASASSN-V J184432.28-414658.6,EA,2.9045,2457288.498
151,ASASSN-V J185804.95-402143.5,EA,1.8956,2457935.597
152,NSV 24651,VAR:,,
153,ASASSN-V J190503.20-412144.4,EB,7.5266,2457137.749
159,ASAS J191313-3945.0,ESD,1.316527,2451963.59
160,ASAS J175450-5256.2,MISC,50.98,2452537.2
164,ASAS J053936-7958.6,VAR,1.841278,
166,ASAS J060846-7815.4,ED,5.672635,2451878.0
169,RV Hyi,EA,7.19505,2425477.4
172,Y Hyi,EA/SD,3.53597,2425481.5
176,ASASSN-V J203616.98-713022.6,EA,5.5036,2459000.547
179,AA Hyi,EA/KE:,1.150272,2428694.7
181,SSS_J184822.6-514048,EA,3.840378,
185,Gaia DR3 6383172599951113088,E,4.47621,
187,ASAS J221623-7615.0,ED,3.353507,2451875.7
188,ASASSN-V J062525.57-830235.2,ROT,121.0,2458307.0
190,ASASSN-V J073327.11-760504.0,VAR,,
193,BM Oct,E,3.70898,2428702.55
196,V4407 Sgr,EA,1.45174,2448174.387
197,LMC V3386,EA,12.2221,2458162.66
200,Gaia DR3 6360429919188648448,RS,,
201,ASAS J184509-8056.3,EC,1.2845,2451871.322
205,ASAS J185533-3201.4,ED,2.812418,2451963.05
209,ASAS J081328-8119.6,ESD|ED,1.39121,2451869.98
213,ASAS J065658-5909.6,ESD|ED,1.08,2451870.21
214,ASASSN-V J070157.29-580724.0,ROT,6.8049,2458852.824
215,ASAS J030343-7616.0,ROT,9.75,
217,ASASSN-V J225743.31-782429.5,EB,0.825196,2457377.573
219,CzeV3457,EA,2.30739,2458648.229
222,ASAS J161929-8629.7,MISC,10.876442,2451889.2
224,ASASSN-V J180955.58-511003.1,EA,0.960586,2457191.642
227,ASAS J180953-5301.5,ED,3.702917,2451952.0
229,ASASSN-V J184926.10-513704.7,ROT,10.674,2458600.754
233,Gaia DR3 5811601509001574912,E,6.1308,
